"","id","scores"
"1","lig38_out.pdbqt",-7.7
"2","lig22_out.pdbqt",-7.3
"3","lig26_out.pdbqt",-7.1
"4","lig42_out.pdbqt",-7
"5","lig23_out.pdbqt",-6.9
"6","lig24_out.pdbqt",-6.9
"7","lig39_out.pdbqt",-6.8
"8","lig37_out.pdbqt",-6.6
"9","lig45_out.pdbqt",-6.5
"10","lig31_out.pdbqt",-6.4
"11","lig32_out.pdbqt",-6.4
"12","lig27_out.pdbqt",-6.3
"13","lig40_out.pdbqt",-6.3
"14","lig41_out.pdbqt",-6.3
"15","lig29_out.pdbqt",-5.9
"16","lig33_out.pdbqt",-5.9
"17","lig44_out.pdbqt",-5.7
"18","lig34_out.pdbqt",-5.3
"19","lig28_out.pdbqt",-5
"20","lig36_out.pdbqt",-4.9
"21","lig43_out.pdbqt",-4.6
"22","lig4_out.pdbqt",-4.6
"23","lig30_out.pdbqt",-4.4
"24","lig46_out.pdbqt",-4.4
"25","lig48_out.pdbqt",-4.4
"26","lig47_out.pdbqt",-4.3
"27","lig49_out.pdbqt",-4.3
"28","lig20_out.pdbqt",-4.1
"29","lig21_out.pdbqt",-4
"30","lig35_out.pdbqt",-3.8
"31","lig25_out.pdbqt",-3.5
"32","lig2_out.pdbqt",-3.4
"33","lig3_out.pdbqt",-3.1
